sku,component_id,component_name,component_cost
LAP1010,C004,SSD,5000.0
LAP1010,C005,Keyboard,2500.0
LAP1010,C006,Cooling Fan,1800.0
LAP1011,C001,Motherboard,22000.0
LAP1011,C002,Display,15000.0
LAP1011,C003,Battery,7500.0
LAP1011,C004,SSD,6500.0
LAP1011,C005,Keyboard,3000.0
LAP1011,C006,Cooling Fan,2200.0
LAP1012,C001,Motherboard,24000.0
LAP1012,C002,Display,17000.0
LAP1012,C003,Battery,8000.0
LAP1012,C004,SSD,7500.0
LAP1012,C005,Keyboard,3200.0
LAP1012,C006,Cooling Fan,2400.0
LAP1013,C001,Motherboard,18000.0
LAP1013,C002,Display,12500.0
LAP1013,C003,Battery,6000.0
LAP1013,C004,SSD,5500.0
LAP1013,C005,Keyboard,2500.0
LAP1013,C006,Cooling Fan,1900.0
LAP1014,C001,Motherboard,26000.0
LAP1014,C002,Display,19000.0
LAP1014,C003,Battery,8500.0
LAP1014,C004,SSD,8000.0
LAP1014,C005,Keyboard,3500.0
LAP1014,C006,Cooling Fan,2600.0
LAP1015,C001,Motherboard,15000.0
LAP1015,C002,Display,10000.0
LAP1015,C003,Battery,5000.0
LAP1015,C004,SSD,4500.0
LAP1015,C005,Keyboard,2200.0
LAP1015,C006,Cooling Fan,1700.0
LAP1016,C001,Motherboard,25000.0
LAP1016,C002,Display,18000.0
LAP1016,C003,Battery,8500.0
LAP1016,C004,SSD,8000.0
LAP1016,C005,Keyboard,3400.0
LAP1016,C006,Cooling Fan,2500.0
LAP1017,C001,Motherboard,19000.0
LAP1017,C002,Display,14000.0
LAP1017,C003,Battery,6500.0
LAP1017,C004,SSD,6000.0
LAP1017,C005,Keyboard,2700.0
LAP1017,C006,Cooling Fan,2000.0
LAP1018,C001,Motherboard,19500.0
LAP1018,C002,Display,14500.0
LAP1018,C003,Battery,6500.0
LAP1018,C004,SSD,6500.0
LAP1018,C005,Keyboard,2800.0
LAP1018,C006,Cooling Fan,2100.0
LAP1019,C001,Motherboard,16000.0
LAP1019,C002,Display,10500.0
LAP1019,C003,Battery,5200.0
LAP1019,C004,SSD,4800.0
LAP1019,C005,Keyboard,2300.0
LAP1019,C006,Cooling Fan,1750.0
LAP1020,C001,Motherboard,28000.0
LAP1020,C002,Display,21000.0
LAP1020,C003,Battery,9000.0
LAP1020,C004,SSD,9000.0
LAP1020,C005,Keyboard,3800.0
LAP1020,C006,Cooling Fan,2800.0
LAP1021,C001,Motherboard,14500.0
LAP1021,C002,Display,9500.0
LAP1021,C003,Battery,4800.0
LAP1021,C004,SSD,4200.0
LAP1021,C005,Keyboard,2100.0
LAP1021,C006,Cooling Fan,1600.0
LAP1022,C001,Motherboard,19000.0
LAP1022,C002,Display,13500.0
LAP1022,C003,Battery,6500.0
LAP1022,C004,SSD,6000.0
LAP1022,C005,Keyboard,2600.0
LAP1022,C006,Cooling Fan,1950.0
LAP1023,C001,Motherboard,23000.0
LAP1023,C002,Display,16500.0
LAP1023,C003,Battery,8000.0
LAP1023,C004,SSD,7500.0
LAP1023,C005,Keyboard,3200.0
LAP1023,C006,Cooling Fan,2400.0
LAP1024,C001,Motherboard,21500.0
LAP1024,C002,Display,15500.0
LAP1024,C003,Battery,7500.0
LAP1024,C004,SSD,7000.0
LAP1024,C005,Keyboard,3000.0
LAP1024,C006,Cooling Fan,2250.0
LAP1025,C001,Motherboard,15000.0
LAP1025,C002,Display,10000.0
LAP1025,C003,Battery,5000.0
LAP1025,C004,SSD,4500.0
LAP1025,C005,Keyboard,2200.0
LAP1025,C006,Cooling Fan,1700.0
LAP1026,C001,Motherboard,19500.0
LAP1026,C002,Display,14000.0
LAP1026,C003,Battery,6800.0
LAP1026,C004,SSD,6200.0
LAP1026,C005,Keyboard,2700.0
LAP1026,C006,Cooling Fan,2000.0
LAP1027,C001,Motherboard,20500.0
LAP1027,C002,Display,15000.0
LAP1027,C003,Battery,7200.0
LAP1027,C004,SSD,6800.0
LAP1027,C005,Keyboard,2900.0
LAP1027,C006,Cooling Fan,2150.0
LAP1028,C001,Motherboard,27000.0
LAP1028,C002,Display,20000.0
LAP1028,C003,Battery,9000.0
LAP1028,C004,SSD,8500.0
LAP1028,C005,Keyboard,3700.0
LAP1028,C006,Cooling Fan,2750.0
LAP1029,C001,Motherboard,13500.0
LAP1029,C002,Display,9000.0
LAP1029,C003,Battery,4500.0
LAP1029,C004,SSD,4000.0
LAP1029,C005,Keyboard,2000.0
LAP1029,C006,Cooling Fan,1500.0
LAP1030,C001,Motherboard,26500.0
LAP1030,C002,Display,19500.0
LAP1030,C003,Battery,8800.0
LAP1030,C004,SSD,8500.0
LAP1030,C005,Keyboard,3600.0
LAP1030,C006,Cooling Fan,2700.0
